AMPLASAMENT,NR. LOCURI,LOCALIZARE AMPLASAMENT,ORAS, PRET 
DIANEI,67,INTRE ITALIANA SI CAROL I,București, 5.00 lei 
DINICU GOLESCU (GARA),72,,București, 2.50 lei 
DINICU GOLESCU 1,111,INTRE STR. M. VULCANESCU SI PTA. GARII DE NORD,București, 2.50 lei 
DIONISIE LUPU,120,INTRE STR. G-RAL EREMIA GRIGORESCU SI C.A.ROSETTI,București, 5.00 lei 
DOAMNEI 1,18,"STR. DOAMNEI, INTRE BD. I.C.BRATIANU SI INTR. SELARI",București, 10.00 lei 
DOAMNEI 2,21,,București, 10.00 lei 
DOAMNEI 4,28,,București, 10.00 lei 
DOMNITA ANASTASIA,57,INTRE STR. LIPSCANI SI STR. A. SALIGNY,București, 5.00 lei 
DOROBANTI,21,PTA. DOROBANTI,București, 5.00 lei 
DOROBANTI – LAHOVARI,11,,București, 5.00 lei 
DOROBANTI DACIA,11,INTERSECTIE BD. DACIA SI CALEA DOROBANTILOR,București, 5.00 lei 
DRISTOR 1,19,INTRE C.RESSU SI STATIE METROU,București, 2.50 lei 
DRISTOR 2,21,INTRE STATIE METROU SI GRAULUI,București, 2.50 lei 
EDGAR QUINET,107,INTRE CALEA VICTORIEI SI BISERICA ENEI,București, 10.00 lei 
EFORIE,48,INTRE C.VICTORIEI SI STR. D. ANASTASIA,București, 5.00 lei 
ELENA VACARESCU,64,INTRE BD. FICUSULUI SI SOS. BUCURESTI-PLOIESTI,București, 2.50 lei 
EPISCOPIEI,77,INTRE N.GOLESCU SI C. VICTORIEI,București, 5.00 lei 
EVA,73,"BD. GHE. MAGHERU, INTRE STR. G.ENESCU SI STR. ANASTASIE SIMU",București, 5.00 lei 
EXPOZITIEI,188,BD. EXPOZITIEI (ZONA ROMEXPO),București, 5.00 lei 
FICUSULUI 1,46,INTRE STR. E.VACARESCU SI STR. H.MACELARIU,București, 2.50 lei 
FICUSULUI 2,93,INTRE STR. H.MACELARIU SI BD. AEROGARII,București, 2.50 lei 
FRUMOASA,152,INTRE CALEA VICTORIEI SI STR. SEVASTOPOL,București, 5.00 lei 
GARA BANEASA,119,ESPLANADA GARII BANEASA SI STR. TIPOGRAFILOR,București, 5.00 lei 
GARA CEAS,13,PIATA GARII DE NORD,București, 5.00 lei 
GARA PARC,39,PIATA GARII DE NORD,București, 5.00 lei 
GARII DE NORD 1,25,"STR. GARII DE NORD, INTRE STR. BERZEI SI STR. CAMELIEI",București, 2.50 lei 
GARII DE NORD 2,77,"STR. GARII DE NORD, INTRE STR. CAMELIEI SI PTA. GARII DE NORD",București, 2.50 lei 
GEORGE CALINESCU,147,,București, 2.50 lei 
GEORGE ENESCU,35,"STR. GEORGE ENESCU, INTRE STR. MENDELEEV SI BD. MAGHERU",București, 5.00 lei 
GEORGE ENESCU 3,65,INTRE STR. D.I.MENDELEEV SI CALEA VICTORIEI,București, 5.00 lei 
GHEORGHE DUCA,54,INTRE CALEA GRIVITEI SI A.I.CUZA,București, 2.50 lei 
GHEORGHE LAZAR,46,INTRE SF. CONSTANTIN SI GH.COBALCESCU,București, 2.50 lei 
GRADINA CU CAI,31,INTRE SP. INDEPENDENTEI SI PTA. M.KOGALNICEANU,București, 5.00 lei 
GRADINITA – ROSETTI,30,"STR. C.A.ROSETTI, INTRE STR. T. ARGHEZI SI STR. DAVID PRAPORGESCU",București, 10.00 lei 
